,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,rankings
311,34,53,23,30,33.1,18.9,7.4,15.0,49.3,1.2,3.0,38.9,3.0,3.6,82.7,1.9,5.5,7.4,2.4,1.4,0.7,1.6,2.4,37.0,14.0,0.0,-2.4,84.0
312,23,53,34,19,27.4,9.3,3.0,7.4,40.4,2.1,5.6,37.5,1.2,1.4,85.5,0.1,1.8,1.9,1.9,0.8,0.4,0.2,2.7,15.3,0.0,0.0,2.3,74.0
313,28,66,20,46,25.8,10.3,3.6,8.2,43.5,2.0,5.0,39.9,1.1,1.3,85.9,0.5,1.8,2.3,1.5,0.6,0.7,0.2,1.5,17.3,0.0,0.0,-2.2,75.0
314,27,56,16,40,26.3,10.1,4.1,7.7,53.1,1.0,2.8,35.2,0.9,1.3,67.6,1.9,5.4,7.3,2.2,1.1,1.0,0.4,1.6,25.2,12.0,0.0,-2.8,79.0
315,23,50,18,32,29.8,14.7,5.0,11.8,42.5,2.2,6.3,34.4,2.5,3.1,82.4,1.2,5.1,6.3,1.5,1.6,0.8,0.5,1.9,26.8,3.0,0.0,-1.4,80.0
316,35,67,50,17,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1.0,6.9,7.8,10.2,3.9,1.2,0.5,1.8,51.3,46.0,13.0,6.6,97.0
317,21,61,29,32,16.2,6.4,2.5,5.9,42.6,0.7,1.7,40.6,0.7,1.0,72.1,0.4,1.9,2.3,1.1,0.7,0.5,0.2,1.3,12.3,0.0,0.0,-0.1,73.0
318,22,63,26,37,32.1,11.8,4.4,10.9,40.3,2.3,6.3,37.5,0.7,1.2,56.6,1.1,5.0,6.1,7.0,3.1,1.4,0.6,2.0,32.5,12.0,3.0,-0.4,77.0
319,21,10,3,7,6.2,2.0,0.8,2.1,38.1,0.4,1.1,36.4,0.0,0.3,0.0,0.1,0.9,1.0,0.5,0.2,0.2,0.0,1.0,4.4,0.0,0.0,1.9,68.0
320,33,3,1,2,8.2,1.7,0.7,1.7,40.0,0.0,0.7,0.0,0.3,0.7,50.0,0.3,0.3,0.7,0.0,0.3,0.7,0.0,0.0,4.1,0.0,0.0,-2.3,72.0
321,21,36,26,10,22.8,6.8,2.4,6.1,39.4,0.8,2.8,29.7,1.2,1.5,79.2,0.7,1.6,2.3,0.8,0.6,0.9,0.1,2.7,12.9,0.0,0.0,1.5,74.0
322,21,61,36,25,33.6,28.8,9.5,20.6,46.3,2.8,8.9,31.6,7.0,9.2,75.8,1.3,8.1,9.4,8.8,4.3,1.0,0.2,2.5,52.8,39.0,17.0,4.1,94.0
323,20,3,1,2,16.1,5.3,1.7,5.3,31.3,1.0,2.7,37.5,1.0,1.3,75.0,0.3,3.0,3.3,2.0,0.7,0.0,0.7,2.0,13.7,0.0,0.0,1.7,72.0
324,24,28,11,17,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,26.5,0.0,0.0,-0.8,78.0
325,24,36,11,25,15.5,6.0,2.3,5.2,43.9,0.9,3.0,28.7,0.6,0.8,71.4,0.6,1.7,2.3,0.9,0.4,0.3,0.7,1.5,12.8,0.0,0.0,-1.2,73.0
326,27,54,34,20,30.9,16.5,6.0,13.8,43.8,1.4,4.3,32.6,3.1,3.4,89.2,0.9,4.0,4.9,7.1,2.4,0.6,0.2,1.8,33.0,9.0,0.0,1.6,83.0
327,27,28,24,4,5.8,1.3,0.4,1.0,41.4,0.3,0.8,36.4,0.1,0.3,37.5,0.1,0.5,0.6,0.4,0.1,0.2,0.1,0.6,3.1,0.0,0.0,2.1,69.0
328,23,55,30,25,22.0,11.2,4.1,9.7,42.5,1.9,5.0,38.8,1.0,1.2,81.8,0.3,2.4,2.7,1.4,1.0,0.7,0.1,1.4,18.0,1.0,0.0,-0.9,77.0
329,22,55,18,37,21.3,10.3,3.9,8.9,43.4,1.1,3.7,28.4,1.5,1.8,82.0,0.5,2.4,2.9,2.1,1.4,0.5,0.3,1.3,17.6,1.0,0.0,-4.2,75.0
330,23,1,0,1,3.7,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,68.0
331,35,44,35,9,26.4,7.5,2.7,6.3,42.7,1.3,3.4,38.5,0.8,1.1,73.5,0.7,5.5,6.3,3.3,1.3,0.8,0.9,2.8,23.6,3.0,0.0,6.1,77.0
332,34,57,27,30,15.5,6.3,2.2,5.5,39.2,1.2,3.1,37.6,0.8,1.0,82.8,0.1,1.6,1.7,1.2,0.3,0.2,0.0,0.8,10.6,0.0,0.0,0.3,71.0
333,30,62,26,36,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1.0,4.1,5.0,1.4,1.6,0.8,0.5,2.9,26.9,3.0,0.0,0.7,78.0
334,26,60,39,21,32.0,12.9,4.3,11.4,37.5,2.3,6.6,34.7,2.1,2.5,83.6,0.7,3.1,3.8,4.9,1.7,1.7,0.5,2.7,29.5,3.0,0.0,4.7,80.0
335,24,4,2,2,7.0,2.8,0.8,3.0,25.0,0.5,1.5,33.3,0.8,1.0,75.0,0.3,1.5,1.8,0.3,0.8,0.0,0.3,1.0,5.2,0.0,0.0,-3.3,67.0
336,25,53,24,29,16.4,4.8,1.7,4.1,42.2,0.5,1.5,30.8,0.9,1.1,81.4,0.6,2.9,3.5,0.9,0.8,0.7,0.2,2.0,12.2,1.0,0.0,-3.3,73.0
337,22,72,33,39,27.7,12.1,5.0,10.7,46.5,0.5,1.9,26.7,1.6,2.2,73.0,0.6,2.7,3.3,5.1,2.0,1.3,0.2,2.0,25.9,4.0,1.0,-0.8,77.0
338,30,58,22,36,20.5,9.7,3.5,7.9,44.3,1.5,3.9,38.6,1.1,1.5,77.6,0.7,3.1,3.8,1.3,1.3,0.5,0.3,2.3,17.3,1.0,0.0,-2.2,75.0
339,25,44,19,25,11.0,3.9,1.4,3.6,39.5,0.6,1.9,30.1,0.5,0.6,92.3,0.3,1.3,1.7,1.0,0.8,0.3,0.2,0.8,8.0,0.0,0.0,-0.6,69.0
340,22,1,0,1,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,5.4,0.0,0.0,4.0,68.0
341,22,59,15,44,20.3,9.3,3.6,6.5,54.5,0.1,0.7,20.5,2.0,2.6,76.9,1.9,4.3,6.2,1.9,1.3,0.7,1.1,2.1,23.4,9.0,0.0,-3.8,76.0
342,21,13,2,11,25.7,14.2,6.0,12.8,46.7,0.3,1.7,18.2,1.9,2.4,80.6,2.2,5.2,7.5,0.8,1.4,0.5,0.9,3.3,27.1,3.0,0.0,-6.8,81.0
343,34,58,21,37,19.5,5.9,2.1,4.6,44.6,1.0,2.7,35.9,0.8,1.0,86.0,0.5,2.6,3.2,1.0,0.6,0.6,0.5,1.8,14.1,0.0,0.0,-1.4,74.0
344,30,61,38,23,17.3,7.2,2.9,4.7,61.5,0.0,0.1,0.0,1.4,2.5,53.5,1.6,3.6,5.2,2.5,1.3,0.5,0.6,2.3,19.3,2.0,0.0,-0.9,77.0
345,23,65,40,25,19.8,4.7,1.7,4.1,42.3,0.9,2.4,35.7,0.4,0.6,61.0,0.7,1.0,1.6,1.2,0.8,1.4,0.7,2.2,14.2,0.0,0.0,0.6,75.0
346,23,4,0,4,4.7,0.5,0.3,1.0,25.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,0.0,0.5,0.3,0.3,4.0,0.0,0.0,1.8,68.0
347,25,41,31,10,10.7,4.9,1.8,3.7,48.7,1.1,2.4,47.5,0.2,0.3,75.0,0.2,1.3,1.5,0.5,0.4,0.2,0.0,0.9,7.9,0.0,0.0,1.6,74.0
348,29,57,17,40,14.4,3.1,1.1,3.1,35.4,0.4,1.6,23.1,0.6,0.6,86.5,0.3,1.0,1.3,3.2,1.0,0.4,0.0,1.4,9.5,1.0,0.0,-0.2,70.0
349,24,2,0,2,3.1,2.5,1.0,1.5,66.7,0.0,0.5,0.0,0.5,0.5,100.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,3.1,0.0,0.0,7.5,68.0
350,28,74,42,32,25.5,9.1,3.2,6.9,46.1,1.6,4.3,37.3,1.1,1.3,84.9,1.5,3.7,5.2,1.2,0.8,0.3,1.1,2.4,20.8,2.0,0.0,1.4,76.0
351,23,19,6,13,6.6,2.1,0.8,1.8,44.1,0.4,0.8,50.0,0.1,0.2,50.0,0.1,0.4,0.5,0.2,0.3,0.5,0.1,0.6,4.4,0.0,0.0,-2.1,70.0
352,28,51,34,17,20.3,6.1,2.3,4.6,50.9,1.0,2.5,41.4,0.4,0.5,64.3,0.6,4.5,5.1,1.1,0.8,0.3,0.3,2.1,14.7,2.0,0.0,1.5,75.0
353,22,12,9,3,5.4,3.5,1.2,2.7,43.8,0.8,1.7,45.0,0.4,0.4,100.0,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,5.7,0.0,0.0,-0.1,72.0
354,28,45,21,24,18.5,7.2,2.5,5.8,42.7,0.5,1.7,29.3,1.8,2.1,83.2,1.0,2.2,3.3,2.4,1.2,1.1,0.5,1.9,18.3,0.0,0.0,0.5,76.0
355,26,13,7,6,11.1,2.1,0.5,2.2,24.1,0.3,1.8,17.4,0.7,1.1,64.3,0.1,0.7,0.8,0.2,0.4,0.2,0.0,1.7,3.3,0.0,0.0,-4.5,68.0
356,26,25,12,13,11.2,2.4,0.9,2.6,33.3,0.2,0.8,25.0,0.4,0.6,78.6,0.6,2.1,2.7,0.6,0.6,0.1,0.2,1.5,6.8,0.0,0.0,0.4,72.0
357,22,55,36,19,16.4,9.3,3.5,7.0,50.9,1.1,2.7,42.2,1.1,1.3,83.3,1.2,3.5,4.7,0.8,0.9,0.5,0.5,1.8,18.2,9.0,0.0,0.4,81.0
358,23,73,34,39,28.0,9.1,3.4,6.6,51.0,1.0,2.7,36.1,1.4,1.7,84.4,0.9,3.1,4.0,1.8,1.0,1.4,0.6,2.2,21.7,1.0,0.0,1.6,77.0
359,32,47,26,21,29.0,14.4,4.9,12.1,40.9,2.0,5.4,37.5,2.4,3.0,82.7,0.7,2.5,3.2,4.4,2.0,0.8,0.1,2.2,25.5,0.0,0.0,1.6,79.0
360,28,47,26,21,12.2,4.8,1.6,4.0,40.7,1.1,3.0,37.8,0.4,0.5,81.8,0.3,2.0,2.3,0.9,0.4,0.2,0.3,1.2,9.8,0.0,0.0,-0.4,73.0
361,31,68,39,29,17.8,6.0,2.2,5.1,42.6,1.2,3.2,36.9,0.4,0.5,81.1,1.0,2.7,3.6,0.8,0.4,0.3,0.1,1.4,12.4,0.0,0.0,2.1,72.0
362,22,65,23,42,30.7,13.0,4.9,11.6,42.4,1.5,4.6,33.0,1.6,2.0,80.9,1.4,4.2,5.6,1.8,1.5,0.6,0.7,2.0,24.9,4.0,0.0,-6.1,77.0
363,22,61,20,41,23.2,9.7,4.1,5.6,74.2,0.0,0.0,0.0,1.4,2.4,56.8,3.0,4.0,7.0,0.6,0.6,0.9,2.0,3.2,26.8,8.0,0.0,-1.8,81.0
364,22,10,5,5,10.9,3.5,1.2,3.2,37.5,0.7,1.9,36.8,0.4,0.5,80.0,0.5,1.2,1.7,0.4,0.4,0.4,0.2,0.9,7.5,0.0,0.0,-1.6,68.0
365,22,62,30,32,14.2,5.4,2.1,4.6,46.2,0.6,1.7,34.6,0.5,0.7,67.4,1.6,3.3,4.9,0.7,0.7,0.4,1.4,1.9,16.8,2.0,0.0,0.3,76.0
366,25,73,46,27,22.4,9.0,3.6,7.8,45.9,0.9,2.4,37.8,1.0,1.2,84.3,0.3,1.5,1.9,3.5,0.7,0.8,0.2,1.0,18.8,0.0,0.0,0.7,77.0
367,26,63,44,19,27.8,18.6,7.5,12.9,58.0,0.0,0.3,0.0,3.7,5.6,65.8,2.6,4.5,7.1,1.7,1.7,0.6,1.1,2.3,33.2,12.0,0.0,4.0,82.0
368,23,45,15,30,18.6,8.7,3.2,5.9,54.5,0.6,1.8,31.3,1.7,2.1,82.1,1.2,3.6,4.9,1.2,1.5,0.6,0.4,3.4,18.1,2.0,0.0,-2.0,76.0
369,20,9,4,5,3.6,1.2,0.4,1.1,40.0,0.0,0.0,0.0,0.3,0.9,37.5,0.3,1.2,1.6,0.1,0.3,0.1,0.1,0.8,3.6,0.0,0.0,-3.7,67.0
370,26,7,3,4,29.1,11.0,3.7,9.6,38.8,2.3,7.4,30.8,1.3,1.7,75.0,0.4,2.9,3.3,1.1,0.7,0.3,0.1,2.9,17.2,0.0,0.0,3.3,68.0
371,24,62,37,25,29.4,12.1,4.3,9.5,45.7,1.4,4.0,34.4,2.0,2.7,75.1,1.4,5.2,6.6,1.2,1.4,0.7,2.1,2.7,28.9,9.0,0.0,-0.1,79.0
372,20,48,22,26,11.9,3.6,1.4,3.1,43.0,0.3,1.2,23.7,0.6,0.9,63.6,0.6,1.6,2.3,0.5,0.3,0.3,0.3,1.5,8.3,1.0,0.0,-1.1,72.0
373,26,5,3,2,9.4,2.8,1.2,3.4,35.3,0.4,2.4,16.7,0.0,0.0,0.0,0.0,1.4,1.4,1.6,0.6,0.2,0.2,0.4,7.5,0.0,0.0,4.0,68.0
374,20,30,8,22,16.5,9.0,3.3,8.1,41.2,1.1,3.2,33.0,1.2,1.8,69.8,1.1,3.0,4.1,1.2,0.7,0.6,0.7,2.8,19.0,2.0,0.0,0.2,72.0
375,32,72,31,41,27.9,11.5,4.4,9.1,48.1,1.9,4.4,41.9,1.0,1.2,82.1,1.5,4.8,6.4,2.8,1.4,0.9,0.6,3.0,26.3,10.0,0.0,0.1,78.0
376,26,61,38,23,18.5,7.4,3.0,4.4,68.4,0.0,0.0,33.3,1.3,1.7,75.5,1.5,3.4,4.9,0.9,1.1,1.0,1.5,2.7,21.0,3.0,0.0,0.4,76.0
377,21,47,19,28,12.6,5.7,2.1,5.7,36.8,1.0,2.8,34.6,0.5,0.8,67.6,0.2,1.6,1.8,1.9,1.1,0.4,0.2,1.2,11.1,0.0,0.0,-1.2,71.0
378,31,22,6,16,23.0,3.6,1.3,3.7,34.6,0.6,2.2,28.6,0.4,0.5,90.0,1.1,3.4,4.5,3.0,1.0,0.8,0.4,1.9,16.0,0.0,0.0,-2.2,73.0
379,21,15,5,10,12.5,4.4,1.8,3.2,56.3,0.1,0.5,14.3,0.7,1.4,52.4,1.3,1.7,2.9,1.1,0.6,0.1,0.5,0.9,10.7,0.0,0.0,-4.5,73.0
380,29,60,26,34,17.4,6.6,2.3,5.4,42.1,1.2,3.4,33.5,0.9,1.2,74.0,0.6,2.4,3.0,1.4,0.8,0.6,0.4,2.1,14.3,0.0,0.0,-1.5,75.0
